,name_lens,lens_link,number_of_works,collaboration_ratio,lens_h_index,scholar_article_cites,patent_cites,associated_fields,current_place_of_work
381,Rufang Zhao,https://www.lens.org/lens/orcid/0000-0002-8146-8777/scholar,5,-,4,52,0,"['Materials science , Ab initio , Chemical physics , Chemistry , Computational chemistry , Gas phase , Superacid , Ab initio quantum chemistry methods , Cage size , Carbazole']",no current information
382,Jiawei Chen,https://www.lens.org/lens/orcid/0000-0001-9294-4858/scholar,8,25%,7,247,0,"['Materials science , Carbon nanofiber , Nanoparticle , Chemical engineering , Nanotechnology , Overpotential , Alloy , Bifunctional , Chemistry , Electrocatalyst']",Xiamen University
383,Jinyu Hu,https://www.lens.org/lens/orcid/0000-0003-1263-5225/scholar,12,64%,4,83,0,"['Biology , Botany , Chemistry , Aspergillus nidulans , Biochemistry , Gene , Aldol reaction , Biosynthesis , Ecology , Gene cluster']","School of Molecular Sciences, PhD candidate"
384,Xiaozhou Luo,https://www.lens.org/lens/orcid/0000-0001-9808-6890/scholar,33,88%,16,"1,402",93,"['Chemistry , Biology , Biochemistry , Amino acid , Antibody , Computational biology , Enzyme , Stereochemistry , In vivo , Mutant']",no current information
385,Sylke Hoehnel,https://www.lens.org/lens/orcid/0000-0001-8449-1692/scholar,6,50%,5,538,15,"['Cell biology , Stem cell , Biology , Mesenchymal stem cell , Cellular differentiation , Chemistry , Ecology , In vitro , Niche , Organoid']",SUN bioscience SA
386,Oliver Brandenberg,https://www.lens.org/lens/orcid/0000-0001-5662-1234/scholar,18,71%,13,994,10,"['Chemistry , Biology , Carbene , Stereochemistry , Catalysis , Cyclopropanation , Organic chemistry , Viral entry , Virology , Antibody']","University of California, Los Angeles (UCLA)"
387,Matthias Lütolf,https://www.lens.org/lens/orcid/0000-0002-3016-1783/scholar,5,-,1,1,0,"['Gynecology , Political science , Family orientation , Parent satisfaction']",Zurich University of Teacher Education
388,Guiyang Xu,https://www.lens.org/lens/orcid/0000-0002-7398-128X/scholar,2,100%,1,7,0,"['Materials science , Solid-fuel rocket , Buckling , Buckling instability , Cabin pressurization , Deflection (engineering) , Deformation (engineering) , Finite element method , Internal pressure , Mechanics']",no current information
389,wang junhua,https://www.lens.org/lens/orcid/0000-0002-9273-6378/scholar,11,90%,6,108,0,"['Structural engineering , Materials science , Composite material , Rebar , Engineering , Geology , Column (typography) , Compression (physics) , Computer science , Dissipation']",no current information
390,youran li,https://www.lens.org/lens/orcid/0000-0003-3396-4132/scholar,27,69%,5,72,1,"['Biology , Genetics , Biochemistry , Chemistry , Gene , Medicine , Bacteria , Internal medicine , Cancer research , Bacillus licheniformis']",Jiangnan University
391,Huilin Zhu,https://www.lens.org/lens/orcid/0000-0002-1052-708X/scholar,2,100%,2,43,0,"['Autism , Autism spectrum disorder , Psychology , Audiology , Brain network , Deception , Developmental psychology , Developmental trajectory , Distrust , Graph theory analysis']",no current information
392,Chongyang Ding,https://www.lens.org/lens/orcid/0000-0002-4344-8142/scholar,3,67%,2,27,0,"['Computer science , Algorithm , Theoretical computer science , Action recognition , Adaptability , Artificial intelligence , Biology , Bounded function , Class (philosophy) , Construct (python library)']",Xidian University
393,Xu-Sha Wu,https://www.lens.org/lens/orcid/0000-0002-5488-7423/scholar,3,100%,2,7,0,"['Magnetic resonance imaging , Medicine , Fractional anisotropy , Internal medicine , Radiology , Schizophrenia (object-oriented programming) , White matter , Anesthesiology , Brain mapping , Brief Psychiatric Rating Scale']",no current information
394,Zhenghua,https://www.lens.org/lens/orcid/0000-0002-2855-4959/scholar,1,100%,-,0,0,"['Cataract surgery , Cohort study , Confidence interval , Confounding , Internal medicine , Medicine , Meta-analysis , Odds ratio , Ophthalmology , Phacoemulsification']",no current information
395,GIOVANNI GAIFFI,https://www.lens.org/lens/orcid/0000-0002-0512-2475/scholar,33,38%,7,108,0,"['Mathematics , Pure mathematics , Combinatorics , Cohomology , Geography , Coxeter group , Discrete mathematics , Partially ordered set , Abelian group , Algebra']",no current information
396,Marcel Huber,https://www.lens.org/lens/orcid/0000-0003-3821-2378/scholar,50,65%,28,"3,673",40,"['Biology , Molecular biology , Keratinocyte , Genetics , Gene , Cancer research , Cell biology , Keratin , Cellular differentiation , Carcinogenesis']",Centre Hospitalier Universitaire Vaudois
397,Fangbin Liu,https://www.lens.org/lens/orcid/0000-0002-3276-0501/scholar,9,78%,3,59,0,"['Geology , Tectonics , Seismology , Cenozoic , Paleontology , Crust , Fault (geology) , Geophysics , Layer (electronics) , Oceanography']",no current information
398,Lyudmila Evich,https://www.lens.org/lens/orcid/0000-0002-7886-0954/scholar,4,75%,1,25,0,"['Mathematical analysis , Mathematics , Applied mathematics , Bending , Bending moment , Bending of plates , Boundary value problem , Coating , Collocation method , Composite material']",Don State Technical University
399,Maria Mardanova,https://www.lens.org/lens/orcid/0000-0002-7936-9016/scholar,1,-,-,0,0,"['Atmospheric model , Brightness , Galaxy , Optics , Parameter , Photometry (optics) , Physics , Point spread function , Surface brightness , Surface brightness fluctuation']",СПбГУ
400,P.G.Sveshnikov,https://www.lens.org/lens/orcid/0000-0001-5107-4649/scholar,48,78%,9,321,52,"['Chemistry , Antibody , Biology , Monoclonal antibody , Molecular biology , Virology , Antigen , Chromatography , Conjugate , Immunoassay']",Russian Research Center for Molecular Diagnostics and Therapy
401,Evgenii Georgievich Stepanov,https://www.lens.org/lens/orcid/0000-0002-1917-8998/scholar,12,89%,1,9,0,"['Medicine , Environmental health , Geography , Occupational safety and health , Pathology , Psychology , Medical education , Archaeology , Biology , Business']",Ufa Research Institute of Occupational Health and Human Ecology
402,Li Deng,https://www.lens.org/lens/orcid/0000-0003-0225-0663/scholar,35,86%,16,"1,328",15,"['Biology , Genetics , Gene , Metagenomics , Microbiology , Computational biology , Genome , Horizontal gene transfer , Virus , Computer science']",Technical University of Munich
403,Luo Liu,https://www.lens.org/lens/orcid/0000-0002-4921-5438/scholar,1,-,-,0,0,"['Apoptosis , Biology , Immunology , Peripheral , T lymphocyte']",no current information
404,Nathalie Mazure,https://www.lens.org/lens/orcid/0000-0003-1350-7161/scholar,55,74%,30,"10,200",132,"['Biology , Cell biology , Cancer research , Hypoxia (medical) , Hypoxia-inducible factors , Chemistry , Cancer cell , Internal medicine , Mitochondrion , Autophagy']",no current information
405,Arjun Ravikumar,https://www.lens.org/lens/orcid/0000-0002-2070-0747/scholar,3,100%,2,26,0,"['Composite material , Corrosion , Materials science , Acid gas , Atmospheric temperature range , Carbon steel , Chemistry , Combustion , Dielectric spectroscopy , Flow (psychology)']",no current information
406,Grigory Arzumanyan,https://www.lens.org/lens/orcid/0000-0002-8755-0747/scholar,8,100%,3,38,0,"['Materials science , Raman spectroscopy , Chemistry , Optics , Physics , Raman scattering , Adsorption , Biochemistry , Biology , Molecule']",no current information
407,Bahareh Javanpour,https://www.lens.org/lens/orcid/0000-0001-8379-2186/scholar,5,25%,3,21,0,"['Corrosion , Dielectric spectroscopy , Materials science , Scanning electron microscope , Silane , Anodizing , Composite material , Contact angle , Surface roughness , Wetting']",no current information
408,Hai Liao,https://www.lens.org/lens/orcid/0000-0003-4325-0280/scholar,1,-,1,31,0,"['Biology , Gene , Genetics , Genomics , Isochorismate synthase , KEGG , MYB , Single molecule real time sequencing , Transcriptome , cDNA library']",no current information
409,Qiaomu Jiang,https://www.lens.org/lens/orcid/0000-0002-7538-725X/scholar,3,-,3,16,0,"['Computer science , Algorithm , CUSUM , Channel impulse response , Cognitive radio , Communication channel , Computer security , Covariance matrix , Emulation , Exploit']",no current information
410,Deng-Feng Yin,https://www.lens.org/lens/orcid/0000-0002-7928-2869/scholar,5,80%,4,47,0,"['Biodegradation , Materials science , Selective laser melting , Chemical engineering , Chemistry , Composite material , Corrosion , Engineering , Grain size , Layer (electronics)']",no current information
411,Thimmaiah Govindaraju,https://www.lens.org/lens/orcid/0000-0002-9423-4275/scholar,142,37%,46,"6,291",90,"['Chemistry , Nanotechnology , Biochemistry , Fluorescence , Materials science , DNA , Combinatorial chemistry , Biology , Stereochemistry , Biophysics']",Jawaharlal Nehru Centre for Advanced Scientific Research (JNCASR)
412,Nagarjun Narayanaswamy,https://www.lens.org/lens/orcid/0000-0002-2474-5117/scholar,17,53%,14,"1,046",11,"['Chemistry , DNA , Fluorescence , Biophysics , Biochemistry , Base pair , Biology , Combinatorial chemistry , Hydrogen bond , Live cell imaging']",no current information
413,Juan-juan Fu,https://www.lens.org/lens/orcid/0000-0002-7957-1409/scholar,39,79%,14,"1,093",8,"['Medicine , Internal medicine , Asthma , COPD , Immunology , Clinical trial , Biology , Exacerbation , Meta-analysis , Prospective cohort study']",no current information
414,Xinyan Xie,https://www.lens.org/lens/orcid/0000-0002-8087-4693/scholar,1,100%,-,0,0,"['2019-20 coronavirus outbreak , Coronavirus disease 2019 (COVID-19) , Disease , Engineering , Exploratory research , Infectious disease (medical specialty) , Mechanical engineering , Medicine , Outbreak , Pathology']",no current information
415,Maarten,https://www.lens.org/lens/orcid/0000-0001-8908-2986/scholar,1,-,1,5,0,"['Business , Finance , Impact investing , Venture capital']",no current information
416,Médéric Lequeux,https://www.lens.org/lens/orcid/0000-0003-2457-9945/scholar,4,75%,3,94,0,"['Materials science , Optoelectronics , Plasmon , Nanoparticle , Surface plasmon , Surface plasmon resonance , Absorption band , Dry etching , Fluorescence , Interference lithography']",Chimie Structures Propriétés de Biomatériaux et d’Agents Thérapeutiques
417,Wim Soetaert,https://www.lens.org/lens/orcid/0000-0002-7312-1941/scholar,48,80%,15,604,14,"['Chemistry , Biology , Sophorolipid , Organic chemistry , Biochemistry , Chemical engineering , Engineering , Yeast , Biochemical engineering , Fermentation']",Ghent University
418,Xu Ye,https://www.lens.org/lens/orcid/0009-0004-2005-5321/scholar,0,-,-,0,0,[''],no current information
419,Bart Lannoo,https://www.lens.org/lens/orcid/0000-0003-1361-5832/scholar,0,-,-,0,0,[''],Be-Mobile
420,Osigwe Agabi,https://www.lens.org/lens/orcid/0000-0002-3084-6918/scholar,10,100%,4,48,0,"[""Medicine , Disease , Cohort , Environmental health , Demography , Genetics , Internal medicine , Parkinson's disease , Population , Anthropometry""]",no current information
421,Parthasarathy,https://www.lens.org/lens/orcid/0000-0001-8406-5589/scholar,0,-,-,0,0,[''],SRM IST
422,Xuejin Wen,https://www.lens.org/lens/orcid/0000-0002-6009-7487/scholar,12,50%,6,177,14,"['Analytical chemistry , Materials science , Field-effect transistor , Biosensor , Chemistry , Heterojunction , Streptavidin , Analyte , Biotinylation , Surface modification']",no current information
423,Li-Li Li,https://www.lens.org/lens/orcid/0000-0003-1464-8716/scholar,1,-,1,3,0,"['Chemistry , Chromatography , Electrospray ionization , Furocoumarin , Furocoumarins , Hydroxylation , Ion trap , Mass spectrometry , Metabolite , Time-of-flight mass spectrometry']",no current information
424,Tai An,https://www.lens.org/lens/orcid/0000-0002-9220-2560/scholar,3,100%,1,6,0,"['Artificial intelligence , Computer science , Computer vision , Image (mathematics) , Algorithm , Cartography , Electrical engineering , Encoder , Engineering , Geography']",no current information
425,Zheng Xin,https://www.lens.org/lens/orcid/0000-0001-5361-3239/scholar,1,-,1,2,0,"['Computational fluid dynamics , Computer science , Mechanics , Rotation']",no current information
426,Jonathan Taibo,https://www.lens.org/lens/orcid/0000-0003-3008-2206/scholar,3,-,-,0,0,"['Discipline , Empowerment , Entrepreneurship , Humanities , Opinion survey , Sociology , Strategic design , The Conceptual Framework']",no current information
427,Zongmei Gao,https://www.lens.org/lens/orcid/0000-0002-7497-7135/scholar,6,25%,2,53,0,"['Artificial intelligence , Computer science , Mathematics , Biology , Computer vision , Botany , Convolutional neural network , Deep learning , Field (mathematics) , Geometry']",no current information
428,wu xiaoyan,https://www.lens.org/lens/orcid/0000-0001-6665-7054/scholar,1,-,-,0,0,"['Biochemistry , Capsaicin , Chemistry , Chromatography , Computational chemistry , Curcumin , Dimer , Docking (animal) , Gingerol , Ligand (biochemistry)']",South China Agricultural University
429,Yongquan Li,https://www.lens.org/lens/orcid/0000-0003-1420-1594/scholar,5,60%,3,31,0,"['Materials science , 3D printing , Chemical engineering , Computer science , Dissolution , Signal , Spray drying , Acoustic energy , Acoustics , Active ingredient']",no current information
430,Wenjun Guan,https://www.lens.org/lens/orcid/0000-0002-6485-8941/scholar,10,60%,5,51,0,"['Biochemistry , Biology , ATP-binding cassette transporter , Efflux , Mutant , Saccharomyces cerevisiae , Streptomyces , Chemistry , Biosynthesis , Cell biology']",Zhejiang University
431,Zhenhong ZHU,https://www.lens.org/lens/orcid/0000-0003-2354-9402/scholar,1,100%,1,3,0,"['ATG12 , ATG5 , Apoptosis , Autophagy , Biochemistry , Biology , Blot , Cell biology , Chemistry , Gene']",Zhejiang Chinese Medical University
432,Tatyana Kropotova,https://www.lens.org/lens/orcid/0000-0002-5703-0927/scholar,1,100%,1,4,0,"['Geochemistry , Geology , Paleosol , Pedogenesis , Permian , Provenance , Red beds , Sedimentary depositional environment , Siltstone , Weathering']",no current information
433,Marina Karpenko,https://www.lens.org/lens/orcid/0000-0002-1082-0059/scholar,20,71%,5,86,2,"['Medicine , Internal medicine , Endocrinology , Biology , Calpain , Biochemistry , Chemistry , Neuroscience , Diabetes mellitus , Disease']",no current information
434,Costanza Emanueli,https://www.lens.org/lens/orcid/0000-0002-2392-0702/scholar,200,89%,63,"11,903",198,"['Biology , Medicine , Internal medicine , Angiogenesis , Endocrinology , Cell biology , Neovascularization , Ischemia , Immunology , microRNA']",Imperial College London
435,Paolo Madeddu,https://www.lens.org/lens/orcid/0000-0002-4718-9205/scholar,31,87%,7,176,0,"['Medicine , Biology , Internal medicine , Biochemistry , Gene , Angiogenesis , Endocrinology , Cell biology , Chemistry , Genetics']",University of Bristol Medical School
436,Chao Chao,https://www.lens.org/lens/orcid/0000-0002-5095-414X/scholar,20,100%,10,379,1,"['Catalysis , Materials science , Chemical engineering , Space velocity , Selective catalytic reduction , Selectivity , Chemistry , NOx , BET theory , Biomass']",no current information
437,Chao Lee,https://www.lens.org/lens/orcid/0000-0001-9768-4004/scholar,2,100%,-,0,0,"['Biochemistry , Biology , Cancer research , Cell biology , Gene , GiST , Stromal cell , ATG5 , Apoptosis , Autophagy']",no current information
438,Cristiana Porcu,https://www.lens.org/lens/orcid/0000-0001-7415-7615/scholar,6,80%,6,165,1,"['Internal medicine , Medicine , Fatty liver , Cirrhosis , Endocrinology , Gastroenterology , Hepatocellular carcinoma , Obesity , Oxidative stress , AMPK']",no current information
439,Martine,https://www.lens.org/lens/orcid/0000-0001-8220-2818/scholar,3,67%,2,22,0,"['Autophagy , Biology , Virology , Apoptosis , Bystander effect , Cell , Cell biology , Geography , Glycoprotein , Gp41']",CNRS Délégation Languedoc-Roussillon
440,Nicole Prudent,https://www.lens.org/lens/orcid/0000-0002-9049-4547/scholar,3,33%,3,98,0,"['Medicine , Ethnic group , Logistic regression , Added sugar , Affect (psychology) , Anthropology , Attention deficit hyperactivity disorder , Breast cancer , Breast cancer screening , Cancer']",no current information
441,Tianyuan Hu,https://www.lens.org/lens/orcid/0000-0002-5431-9346/scholar,2,100%,1,1,0,"['Computer science , Graph , Programming language , Theoretical computer science , Artificial intelligence , Blockchain , Computer security , Dependency graph , Fuzz testing , Inference']",no current information
442,Yanlong Jia,https://www.lens.org/lens/orcid/0000-0002-1462-8902/scholar,7,14%,5,83,3,"['Chinese hamster ovary cell , Transfection , Transgene , Biology , Chemistry , Scaffold/matrix attachment region , Cell biology , Gene , Green fluorescent protein , Molecular biology']",Xinxiang Medical University
443,Song Chao,https://www.lens.org/lens/orcid/0000-0002-5917-2224/scholar,2,50%,1,5,0,"['Analyte , Calibration , Coefficient of variation , Environmental health , External quality assessment , Hepatitis B virus , Internal quality , Laboratory Only , Mathematics , Medicine']",no current information
444,Shihui Yang,https://www.lens.org/lens/orcid/0000-0003-0770-7060/scholar,1,100%,1,7,0,"['Bacteria , Biocompatibility , Biofilm , Biology , Coating , Composite material , Genetics , Graphene , Materials science , Metallurgy']",no current information
445,Wenfang Peng,https://www.lens.org/lens/orcid/0000-0003-3436-2408/scholar,3,33%,3,29,0,"['Patch antenna , Bandwidth (signal processing) , Materials science , Acoustics , Air cavity , Antenna (radio) , Electric field , Electrical impedance , Excited state , Grating']",no current information
446,Shen Wei,https://www.lens.org/lens/orcid/0000-0001-9644-5095/scholar,98,91%,23,"1,691",0,"['Environmental science , Computer science , Engineering , Energy consumption , Materials science , Thermal , China , Architectural engineering , Atmospheric sciences , Building energy']",University College London
447,Yanli Zheng,https://www.lens.org/lens/orcid/0000-0002-7785-1343/scholar,3,33%,2,6,0,"['Medicine , Alternative splicing , Apoptosis , Body mass index , CD8 , Cancer research , Cell culture , Cell growth , Chemistry , Cisplatin']",no current information
448,Lixin Ma,https://www.lens.org/lens/orcid/0000-0001-9841-2019/scholar,0,-,-,0,0,[''],"Hebei University, School of Public Health"
449,Xu Hongyan,https://www.lens.org/lens/orcid/0000-0001-9987-6608/scholar,3,100%,1,6,0,"['Geology , Physical geography , Pollen , Qinghai tibetan plateau , Precipitation , Resolution (electron density) , Section (archaeology)']",China Earthquake Administration Institute of Geology
450,Jingxiang Lin,https://www.lens.org/lens/orcid/0000-0002-5519-4047/scholar,2,50%,2,6,0,"['Chemistry , Molecule , Supramolecular chemistry , Cocrystal , Combinatorial chemistry , Crystal , Crystal engineering , Crystallography , Decamethonium diiodide , Dication']","The School of Ocean Science and Biochemistry Engineering, Fuqing Branch of Fujian Normal University"
451,Qianjin Kang,https://www.lens.org/lens/orcid/0000-0002-4894-0056/scholar,9,56%,4,44,1,"['Biochemistry , Chemistry , Biosynthesis , Gene , Bacteria , Biology , Enzyme , Heterologous expression , Combinatorial chemistry , Complementation']",no current information
452,xiaojing Hu,https://www.lens.org/lens/orcid/0000-0001-6687-0592/scholar,1,100%,1,1,0,"['Canopy , China , Elevation , Environmental science , Glacial period , Physical geography , Snow , Terrain']",no current information
453,yixin ou,https://www.lens.org/lens/orcid/0000-0003-0484-4895/scholar,1,100%,1,3,0,"['16S ribosomal RNA , Actinobacteria , Biology , Botany , Genome size , Genus , Muramic acid , Rhizosphere , Strain (chemistry) , Suaeda australis']",Shanghai Jiao Tong University School of Life Sciences and Biotechnology
454,Linquan,https://www.lens.org/lens/orcid/0000-0002-3269-9747/scholar,17,88%,6,66,1,"['Biochemistry , Chemistry , Computer science , Biology , Mathematics , Biosynthesis , Economics , Engineering , Enzyme , Mathematical optimization']",Shanghai Jiao Tong University
455,shaopeng zhang,https://www.lens.org/lens/orcid/0000-0001-9330-0579/scholar,2,100%,1,5,0,"['Biochemistry , Chemistry , ABTS , Antioxidant , Apoptosis , Biology , Cancer , Cancer cell , Cell , Cell biology']",no current information
456,jiang peng,https://www.lens.org/lens/orcid/0000-0003-4662-9288/scholar,33,77%,10,391,3,"['Medicine , Biology , Cell biology , Materials science , Chemistry , Regeneration (biology) , Biomedical engineering , Cancer research , Internal medicine , Anatomy']",General Hospital of People's Liberation Army
457,Chuan-Tian Zuo,https://www.lens.org/lens/orcid/0000-0002-9922-1625/scholar,1,-,1,11,0,"['Esophageal cancer , Esophagectomy , Immune system , In patient , Medicine , Surgery , Thoracic esophageal cancer , Video-assisted thoracoscopic surgery']",no current information
458,zhang zuo peng,https://www.lens.org/lens/orcid/0000-0003-4216-9798/scholar,1,100%,-,0,0,"['Acoustics , Algorithm , Artificial intelligence , Computer science , Data mining , Degree (music) , Feature (linguistics) , Fuzzy logic , Fuzzy number , Fuzzy set']",South China Normal University
459,menghua,https://www.lens.org/lens/orcid/0000-0001-6632-2406/scholar,1,100%,-,0,0,"['Affine transformation , Algorithm , Artificial intelligence , Computer science , Factor (programming language) , Geometry , Mathematical analysis , Mathematics , Programming language , Regularization (linguistics)']",no current information
460,Hanyu Zheng,https://www.lens.org/lens/orcid/0000-0003-1922-8112/scholar,1,100%,1,3,0,"['Algorithm , Artificial intelligence , Artificial neural network , Classifier (UML) , Cognitive neuroscience of visual object recognition , Computation , Computer science , Computer vision , Contextual image classification , Convolutional neural network']",no current information
461,Chenli Liu,https://www.lens.org/lens/orcid/0000-0003-3029-7207/scholar,40,76%,20,"2,425",20,"['Biology , Synthetic biology , Chemistry , Biophysics , Gene , Genetics , Bacteria , Cell , Cell biology , Cell division']",Shenzhen Institutes of Advanced Technology
462,Minfeng Xiao,https://www.lens.org/lens/orcid/0000-0002-0507-7352/scholar,18,94%,11,480,0,"['Biology , Genetics , Genome , Computational biology , Gene , Computer science , Escherichia coli , Genomics , Metagenomics , Viral replication']",BGI Group
463,Chenjian Song,https://www.lens.org/lens/orcid/0000-0003-4516-3447/scholar,3,100%,1,3,0,"['Artificial intelligence , Computer science , Control (management) , Human–robot interaction , Robot , Computer network , Human–computer interaction , Iterative learning control , Learning methods , Optimization algorithm']",no current information
464,Natalya Glushkova,https://www.lens.org/lens/orcid/0000-0001-6763-1366/scholar,0,-,-,0,0,[''],no current information
465,Tamara Simakova,https://www.lens.org/lens/orcid/0000-0001-9023-4852/scholar,7,86%,2,36,0,"['Biology , Genetics , Human leukocyte antigen , Allele , Antigen , Computational biology , Copy-number variation , Locus (genetics) , Medicine , Amplicon']",Parseq Lab
466,sergei sergeevich dvornikov,https://www.lens.org/lens/orcid/0000-0001-7426-6475/scholar,7,71%,1,1,0,"['Computer science , Algorithm , Mathematics , Electronic engineering , Chemistry , Engineering , Geometry , Optics , Physics , Telecommunications']",no current information
467,lijun Pan,https://www.lens.org/lens/orcid/0000-0003-0658-7423/scholar,9,89%,5,169,1,"['Materials science , Direct current , Thin film , Optoelectronics , Sputtering , Composite material , Electrochromic devices , Electrochromism , Thermal conductivity , Condensed matter physics']",no current information
468,Bozeng Tang,https://www.lens.org/lens/orcid/0000-0002-3986-9622/scholar,10,80%,5,80,0,"['Biology , Cell biology , Gene , Gene expression , Appressorium , Genetics , Oryza sativa , Effector , Magnaporthe , Magnaporthe grisea']",Sainsbury Laboratory
469,xu xiaohui,https://www.lens.org/lens/orcid/0000-0003-2714-1156/scholar,1,100%,1,19,0,"['Adipokine , Adiponectin , Adipose tissue , Endocrinology , Follistatin , Hyperinsulinemia , Insulin resistance , Internal medicine , Medicine , Myokine']",no current information
470,Tingzhen Ming,https://www.lens.org/lens/orcid/0000-0002-9238-2637/scholar,32,97%,18,902,1,"['Environmental science , Materials science , Heat transfer , Pollutant , Mechanics , Meteorology , Chimney , Engineering , Heat transfer coefficient , Power station']",no current information
471,Ziyu Song,https://www.lens.org/lens/orcid/0000-0002-0569-1133/scholar,4,50%,3,84,0,"['Business , China , Economics , Industrial organization , Investment (macroeconomics) , Annual report , Cleaner production , Competition (economics) , Digital transformation , Earnings']","School of Economics and Management, PHD."
472,Dan WU,https://www.lens.org/lens/orcid/0000-0001-8041-4016/scholar,4,75%,2,18,0,"['Medicine , Pharmacology , Antioxidant , Biochemistry , Uric acid , Biology , Chemistry , Gout , Hyperuricemia , Internal medicine']",no current information
473,Fabio Gsaller,https://www.lens.org/lens/orcid/0000-0002-9257-8648/scholar,32,94%,14,842,1,"['Biology , Aspergillus fumigatus , Microbiology , Biochemistry , Gene , Siderophore , Genetics , Chemistry , Virulence , Transcription factor']",no current information
474,hubertus haas,https://www.lens.org/lens/orcid/0000-0003-2472-9878/scholar,27,100%,10,251,0,"['Aspergillus fumigatus , Microbiology , Biology , Chemistry , Siderophore , Biochemistry , Genetics , Aspergillosis , Gene , Transcription factor']",no current information
475,Mira Blaschek,https://www.lens.org/lens/orcid/0000-0001-7175-3235/scholar,0,-,-,0,0,[''],BG/BRG Keramikstraße
476,Steven F Abcouwer,https://www.lens.org/lens/orcid/0000-0003-2580-1288/scholar,56,50%,28,"3,522",111,"['Biology , Medicine , Endocrinology , Internal medicine , Diabetic retinopathy , Diabetes mellitus , Glutamine , Cell biology , Vascular endothelial growth factor , Biochemistry']",University of Michigan
477,Lee Shi Zhen,https://www.lens.org/lens/orcid/0000-0001-5517-3855/scholar,4,-,2,16,0,"['Medicine , Surgery , Anatomy , Chlorhexidine , Current age , Dorsum , Extremely Preterm Infant , Follow up studies , Full thickness , Hypertrophic scar']",Hospital Melaka
478,Boris Faizov,https://www.lens.org/lens/orcid/0000-0003-4961-3820/scholar,3,33%,2,13,0,"['Computer science , Artificial intelligence , Task (project management) , Adaptation (computer science) , Chemistry , Classifier (linguistics) , Computer vision , Domain (mathematical analysis) , Domain (software engineering) , Economics']",no current information
479,Z G,https://www.lens.org/lens/orcid/0000-0003-1647-6380/scholar,6,100%,2,13,5,"['Materials science , Chemical engineering , Amination , Layer (electronics) , Nanotechnology , Catalysis , Chemistry , Composite material , Electrochemistry , Electrode']",no current information
480,Оrazali Mullakaev,https://www.lens.org/lens/orcid/0000-0001-9829-6660/scholar,8,-,-,0,0,"['Biology , Chemistry , Immunology , Medicine , Anatomy , Animal science , Antioxidant , Biochemistry , Broiler , Fluoride']",Bauman Kazan State Academy of Veterinary Medicine
481,Andrei Alimov,https://www.lens.org/lens/orcid/0000-0002-8495-7728/scholar,17,94%,9,416,76,"['Biology , Genetics , Gene , Molecular biology , Cancer research , Allele , Chemistry , DNA , Medicine , Population']",Research Centre for Medical Genetics
482,Zongbao K. Zhao,https://www.lens.org/lens/orcid/0000-0003-0654-1193/scholar,175,78%,49,"9,400",422,"['Chemistry , Biochemistry , Biology , Yeast , Catalysis , Enzyme , Stereochemistry , Organic chemistry , Rhodosporidium toruloides , Ionic liquid']","Dalian Institute of Chemical Physics, CAS"
483,Debin Ji,https://www.lens.org/lens/orcid/0000-0002-3195-9818/scholar,22,59%,6,121,1,"['Materials science , Electrochemistry , Intermetallic , Cyclic voltammetry , Inorganic chemistry , Alloy , Analytical chemistry , Electrode , Electrolysis , Chemical engineering']",Northeast Petroleum University
484,Wujun Liu,https://www.lens.org/lens/orcid/0000-0002-6594-4315/scholar,25,63%,9,430,22,"['Chemistry , Stereochemistry , Organic chemistry , Cofactor , Biochemistry , Enzyme , Ionic liquid , Malic enzyme , NAD+ kinase , Cycloaddition']",Dalian Medical University
485,Pablo-M. Millán-Millán,https://www.lens.org/lens/orcid/0000-0001-5343-6957/scholar,12,29%,2,11,0,"['Archaeology , Geography , Architectural engineering , Engineering , Computer science , Typology , Architecture , Astrophysics , Cultural heritage , Fortress (chess)']",no current information
486,David F. Miranda,https://www.lens.org/lens/orcid/0000-0002-9096-0181/scholar,4,75%,3,77,0,"['Medicine , Cardiology , Internal medicine , Electrocardiography , Myocardial infarction , Acute coronary syndrome , Adverse effect , Anesthesia , Artificial heart , Benign early repolarization']",no current information
487,Marcy Zenobi-Wong,https://www.lens.org/lens/orcid/0000-0002-8522-9909/scholar,96,76%,38,"5,111",60,"['Materials science , Chemistry , Cartilage , Self-healing hydrogels , Biomedical engineering , Biophysics , Extracellular matrix , Tissue engineering , Nanotechnology , Anatomy']",ETH-Bereich Hochschulen
488,Yang Yuan,https://www.lens.org/lens/orcid/0000-0002-8975-2764/scholar,1,100%,-,0,0,"['Acoustics , Boundary element method , Computer science , Electrical impedance , Finite element method , Surface acoustic wave , Transducer , Wireless']",no current information
489,Thomas Groth,https://www.lens.org/lens/orcid/0000-0001-6647-9657/scholar,197,77%,44,"6,740",133,"['Materials science , Chemistry , Biophysics , Adhesion , Biocompatibility , Chemical engineering , Biochemistry , Polymer chemistry , Membrane , Cell adhesion']",no current information
490,Mahmood Mahmood,https://www.lens.org/lens/orcid/0000-0002-3914-3864/scholar,0,-,-,0,0,[''],no current information
491,Melissa M. Herbst-Kralovetz,https://www.lens.org/lens/orcid/0000-0002-8540-5917/scholar,68,70%,29,"3,154",42,"['Biology , Medicine , Immunology , Microbiology , Microbiome , Bacterial vaginosis , Bioinformatics , Immune system , Cervical cancer , Lactobacillus']",University of Arizona College of Medicine Phoenix
